Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
110016014.0,443330.0,439205.0,2.0,2011-01-12,712.0,A(M),Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,62.0,Car
110016024.0,425059.0,433371.0,2.0,2011-01-12,830.0,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,39.0,Car
110016533.0,420683.0,434373.0,1.0,2011-01-12,1215.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,66.0,Car
110017112.0,431097.0,433000.0,1.0,2011-01-12,1735.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,39.0,Goods vehicle 3.5 tonnes mgw and under
110020375.0,429523.0,433820.0,2.0,2011-01-12,1230.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29.0,Car
110017709.0,427893.0,434624.0,2.0,2011-01-13,755.0,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26.0,Pedal cycle
110017956.0,421253.0,440320.0,1.0,2011-01-13,808.0,B,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,Pedestrian,Serious,Female,11.0,Car
110018244.0,432494.0,433751.0,4.0,2011-01-13,900.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61.0,Car
110018638.0,428108.0,432802.0,2.0,2011-01-13,755.0,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,30.0,Car
110018805.0,420539.0,440258.0,2.0,2011-01-13,1635.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59.0,Pedal cycle
11001889.0,428370.0,431571.0,3.0,2011-01-13,1407.0,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3.0,Car
110018909.0,430472.0,435630.0,2.0,2011-01-13,750.0,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23.0,Bus or coach (17 or more passenger seats)
110019019.0,428427.0,434017.0,2.0,2011-01-13,1940.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26.0,Car
110019019.0,428427.0,434017.0,2.0,2011-01-13,1940.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30.0,Car
